iteration,current_return,best_return_so_far,gap_to_best
1,-5.10271310224201,-5.10271310224201,0.0
2,-3.7619309992560424,-3.7619309992560424,0.0
3,-3.218002293928617,-3.218002293928617,0.0
4,-3.160797568218947,-3.160797568218947,0.0
5,-3.129596351005881,-3.129596351005881,0.0
6,-3.7996938341615376,-3.129596351005881,0.6700974831556565
7,-3.5207963317534454,-3.129596351005881,0.39119998074756435
8,-3.35304685910185,-3.129596351005881,0.223450508095969
9,-3.337069542492067,-3.129596351005881,0.20747319148618582
10,-3.216916321704655,-3.129596351005881,0.08731997069877373
11,-3.221383852113737,-3.129596351005881,0.09178750110785572
