iteration,current_return,best_return_so_far,gap_to_best
1,-27.464842046107364,-27.464842046107364,0.0
2,-12.9730248507651,-12.9730248507651,0.0
3,-12.153556138887346,-12.153556138887346,0.0
4,-18.89353208390654,-12.153556138887346,6.739975945019193
5,-8.863587508596666,-8.863587508596666,0.0
6,-7.971782475759751,-7.971782475759751,0.0
7,-6.829749632882102,-6.829749632882102,0.0
8,-6.215766994443634,-6.215766994443634,0.0
9,-5.727894812716184,-5.727894812716184,0.0
10,-5.584443825941387,-5.584443825941387,0.0
11,-4.923347481945076,-4.923347481945076,0.0
