lb,ub,Qsg,Tout,Tair_true,u_true
15.0,28.0,0.0,17.0,22.846153846153847,-1755.8557
15.0,28.0,0.0,18.0,20.225346013416292,-547.31256
15.0,28.0,0.0,19.0,21.513563345389606,-1141.3531
15.0,28.0,0.0,20.0,20.676849520791855,-755.5161
15.0,28.0,0.0,21.299999999999997,21.030385472008547,-918.5435
15.0,28.0,0.0,21.0,20.750446175904464,-789.45404
15.0,28.0,0.0,20.700000000000003,20.829898648177014,-826.0923
15.0,28.0,0.0,20.5,20.717573114201688,-774.2951
15.0,28.0,0.0,20.4,20.71642338622,-773.76495
15.0,28.0,0.0,20.4,20.660012742642817,-747.7521
15.0,28.0,0.0,20.5,20.639990726727547,-738.5193
15.0,28.0,1.815,21.1,20.60607920763423,-722.88153
15.0,28.0,55.72619567,21.700000000000003,20.5886259252357,-714.83325
22.0,24.0,22.77,22.400000000000006,20.585475755598154,-713.38055
22.0,24.0,117.7942964,23.0,20.56854881170038,-705.575
22.0,24.0,65.67801958,24.0,20.594414050762015,-717.5024
22.0,24.0,177.4316214,25.0,20.58132340107954,1261.1782
22.0,24.0,129.2898191,26.0,23.829479222809788,-2209.3003
22.0,24.0,333.23752,27.0,19.21930592288804,1478.7445
22.0,24.0,329.361975,27.599999999999994,24.212865683500674,-2386.0928
22.0,24.0,502.1707031,28.299999999999997,19.26826495188107,1473.0206
22.0,24.0,518.8843589,28.700000000000003,24.487645286576516,-2512.803
22.0,24.0,632.8191194,29.200000000000003,19.41479685114236,1455.8209
22.0,24.0,649.8086212,29.400000000000006,24.78021982489985,-2647.7188
22.0,24.0,701.6350699,29.599999999999994,19.555331039282848,1439.3088
22.0,24.0,703.0527701,29.700000000000003,25.059330985330384,-2776.4265
22.0,24.0,493.4677368,29.799999999999997,19.67014628410656,1367.9913
22.0,24.0,89.94650763,29.700000000000003,25.14819666975572,-2817.4055
22.0,24.0,180.2523886,29.599999999999994,19.62481760613869,-270.3886
22.0,24.0,474.8740792,29.400000000000006,22.603793468679704,-1644.0951
22.0,24.0,426.4738543,29.099999999999994,20.988201032091418,-899.0908
22.0,24.0,424.6044764,28.700000000000003,21.862549671606057,-1302.2826
22.0,24.0,269.3540575,28.299999999999997,21.36898796872449,-1074.6846
22.0,24.0,221.8666509,27.700000000000003,21.583220740522613,-1173.4746
22.0,24.0,126.7057476,27.099999999999994,21.407080394253445,-1092.2502
22.0,24.0,96.50280202,26.200000000000003,21.424103620038935,-1100.1002
22.0,24.0,53.955,25.400000000000006,21.335117452385823,-1059.0657
22.0,24.0,38.445,25.400000000000006,21.099147922631165,-950.2522
22.0,24.0,24.09,23.0,21.138370733859734,-968.3392
22.0,24.0,11.385,21.700000000000003,21.02063892286339,-914.049
22.0,24.0,14.70273145,20.4,20.98432236155816,-897.3022
15.0,28.0,0.0,19.299999999999997,20.905956615722317,-861.1651
15.0,28.0,0.0,18.200000000000003,20.848203418652556,-834.5332
15.0,28.0,0.0,17.299999999999997,20.782572896415896,-804.2687
15.0,28.0,0.0,16.4,20.724473180063363,-777.477
15.0,28.0,0.0,15.799999999999997,20.66558238119454,-750.3205
15.0,28.0,0.0,15.200000000000003,20.611682041829475,-725.4652
15.0,28.0,0.0,14.799999999999997,20.559846185296905,-701.5619
15.0,28.0,0.0,14.399999999999991,20.512204989231716,-679.59296
15.0,28.0,0.0,14.200000000000003,20.467504286615313,-658.9799
15.0,28.0,0.0,13.899999999999999,20.42690715386608,-640.2592
15.0,28.0,0.0,13.799999999999997,20.389124200500465,-622.83624
15.0,28.0,0.0,13.700000000000003,20.35510622087902,-607.14935
15.0,28.0,0.0,13.600000000000001,20.32424977665833,-592.9205
15.0,28.0,0.0,13.5,20.296312880166546,-580.03784
15.0,28.0,0.0,13.399999999999999,20.27091819302389,-568.32745
15.0,28.0,0.0,13.299999999999997,20.24781855157362,-557.6754
15.0,28.0,0.0,13.299999999999997,20.226744916360975,-547.95764
15.0,28.0,0.0,13.299999999999997,20.208009027403975,-539.3179
15.0,28.0,1.485,13.899999999999999,20.191311897890685,-531.6183
15.0,28.0,58.556079569999994,14.600000000000001,20.180008069274272,-526.4057
22.0,24.0,23.925,15.799999999999997,20.188795896253612,-530.45807
22.0,24.0,119.06838779999998,17.0,20.181155502805694,-526.9349
22.0,24.0,118.3605563,18.4,20.220565436357056,-545.1081
22.0,24.0,165.0533408,19.799999999999997,20.234397792962422,1359.2211
22.0,24.0,209.380991,21.0,23.38607249391596,-2004.8304
22.0,24.0,297.120158,22.200000000000003,18.96151434649318,1509.0315
22.0,24.0,323.3944953,23.200000000000003,23.720545790215116,-2159.0674
22.0,24.0,393.4954187,24.099999999999994,19.0535669063214,1498.2258
22.0,24.0,418.1074349,25.0,23.99862531601526,-2287.2993
22.0,24.0,496.9062356,25.900000000000006,19.186968014344167,1482.5665
22.0,24.0,508.5705081,26.599999999999994,24.286422616777898,-2420.0122
22.0,24.0,585.9484111,27.299999999999997,19.322777565415507,1466.6222
22.0,24.0,626.0118392,27.799999999999997,24.574762133811284,-2552.9753
22.0,24.0,624.281796,28.299999999999997,19.46413393735537,1449.9908
22.0,24.0,616.1062069,28.5,24.84932298602538,-2679.585
22.0,24.0,571.0052776,28.700000000000003,19.565586433290186,1435.7029
22.0,24.0,591.8202484000001,28.700000000000003,25.05750786029693,-2775.5857
22.0,24.0,478.3471966,28.799999999999997,19.643185032206677,1225.0607
22.0,24.0,423.6056223,28.900000000000006,24.89691336193247,-2701.53
22.0,24.0,216.3686579,28.900000000000006,19.811542706324637,-356.49387
22.0,24.0,227.3332997,28.799999999999997,22.527586612417224,-1608.9536
22.0,24.0,122.8774965,28.599999999999994,20.978260188279037,-894.5068
22.0,24.0,129.819488,28.299999999999997,21.749657884734482,-1250.2244
22.0,24.0,44.385,28.0,21.26022219947097,-1024.529
22.0,24.0,52.59964202,28.0,21.247190168841627,-1018.5195
22.0,24.0,21.12,26.900000000000006,21.176768608893916,-986.0457
22.0,24.0,10.065,25.900000000000006,21.131447543318604,-965.1466
22.0,24.0,11.966495670000002,24.900000000000006,21.072474883290283,-937.95233
15.0,28.0,0.0,24.0,21.023676494263224,-915.44977
15.0,28.0,0.0,23.200000000000003,20.96754353789928,-889.56494
15.0,28.0,0.0,22.799999999999997,20.91884237113986,-867.10724
15.0,28.0,0.0,22.400000000000006,20.87067373247673,-844.895
15.0,28.0,0.0,22.1,20.827328369837822,-824.907
15.0,28.0,0.0,21.799999999999997,20.78641020247618,-806.03827
15.0,28.0,0.0,21.6,20.748930652227447,-788.7551
15.0,28.0,0.0,21.4,20.714334747481047,-772.8018
15.0,28.0,0.0,21.299999999999997,20.682654809559722,-758.1931
15.0,28.0,0.0,21.200000000000003,20.653903986351164,-744.9352
15.0,28.0,0.0,21.299999999999997,20.627828836408664,-732.911
15.0,28.0,0.0,21.299999999999997,20.605147466617662,-722.45184
15.0,28.0,0.0,21.1,20.584908951058207,-713.11914
15.0,28.0,0.0,20.9,20.565864611147745,-704.3373
15.0,28.0,0.0,20.4,20.547921007988375,-696.0628
15.0,28.0,0.0,19.900000000000006,20.529364735193315,-687.50586
15.0,28.0,0.0,19.299999999999997,20.5103860033914,-678.75415
15.0,28.0,0.0,18.6,20.490439240986362,-669.5561
15.0,28.0,2.145,18.5,20.469180999184168,-659.7532
15.0,28.0,59.83794549,18.299999999999997,20.45048819173863,-651.1333
22.0,24.0,24.255,18.9,20.448183036022897,-650.07025
22.0,24.0,115.4087307,19.39999999999999,20.42744382382827,-640.5067
22.0,24.0,60.47298408,20.299999999999997,20.450748445692938,-651.25323
22.0,24.0,172.3152619,21.1,20.43361142052918,1329.0089
22.0,24.0,122.2668529,21.700000000000003,23.677606161687827,-2139.2666
22.0,24.0,330.8368044,22.400000000000006,19.06170230403791,1497.2692
22.0,24.0,326.0023189,22.9,23.96736321432101,-2272.8833
22.0,24.0,509.5403113,23.299999999999997,19.140013088222055,1488.0798
22.0,24.0,540.764517,23.700000000000003,24.22097526731344,-2389.8323
22.0,24.0,650.159358,24.099999999999994,19.284557407218834,1471.113
22.0,24.0,679.3646442000002,24.400000000000006,24.50134954406418,-2519.1223
22.0,24.0,729.5834909,24.799999999999997,19.42207682498774,1454.9707
22.0,24.0,739.3866602,25.0,24.775921795469934,-2645.7368
22.0,24.0,730.3185855,25.299999999999997,19.538703992412916,1441.2682
22.0,24.0,718.6380214,25.5,25.01156361138698,-2754.3994
22.0,24.0,649.7882838,25.700000000000003,19.62274676614583,1430.3578
22.0,24.0,619.4570317,25.799999999999997,25.180362313439296,-2832.2383
22.0,24.0,494.5346672,25.900000000000006,19.665973835938054,1174.5162
22.0,24.0,434.2262578,25.799999999999997,24.884170683175192,-2695.654
