row_index,time_hour_start,time_hour_end,dt_seconds,T_env_start,T_zone_start,T_cor_state_start,T_out_state_start,Qsg_state_start,Qint_state_start,hour_sin_start,hour_cos_start,SAT_sp_requested,ZAT_sp_requested,SAT_sp,ZAT_sp,integral_error_start,prev_zat_sp_start,damper_signal_prev_start,m_fan_start,T_cor_used,T_out_used,Qsg_used,Qint_used,Hour_used,T_env_end,T_zone_end,integral_error_end,prev_zat_sp_end,damper_signal_end,m_fan_end,Mode,ReheatSignal_end,Q_reheat_end_W,reward,done,TotalEnergy_kWh,CoolingEnergy_kWh,HeatingEnergy_kWh,ReheatEnergy_kWh,FanEnergy_kWh,ComfortPeriod,ComfortLB,ComfortUB,TempExceed_degC,T_env_end_normalized,T_zone_end_normalized
0,17664,17664.5,1800,20,24,24,17,0,50,0,1,14.950504303,24.8687839508,14.950504303,24.8687839508,0,,0,0.080939,24,18,0,50,0,20.316447094,22.0244188476,0,24.8687839508,0,0.080939,heating,0.930577415724,279.173224717,-0.00228117872552,False,0.136870723531,0.00992656117279,0,0.118644227301,0.00829993505753,night,15,28,0,0.294755637646,0.540339887142
1,17664.5,17665,1800,20.3164482117,22.0244178772,24,18,0,50,0,1,14.950504303,24.8687839508,14.950504303,24.8687839508,0,24.8687839508,0,0.080939,24,19,0,50,1,20.5275044316,22.0266505424,0,24.8687839508,0,0.080939,heating,0.951905689649,285.571706895,-0.00293713881172,False,0.176228328703,0.00876714857437,0,0.159161245071,0.00829993505753,night,15,28,0,0.300785839558,0.540511608124
2,17665,17665.5,1800,20.5275039673,22.0266513824,24,19,0,50,0.258819103241,0.965925812721,16,26,16,26,0,24.8687839508,0,0.080939,24,20,0,50,1,20.7436509031,22.2301548781,0,26,0,0.080939,heating,1,300,-0.00304000021589,False,0.182400012953,0.00743341122908,0,0.166666666667,0.00829993505753,night,15,28,0,0.306961447001,0.556165754795
3,17665.5,17666,1800,20.7436504364,22.2301559448,24,20,0,50,0.258819103241,0.965925812721,16,26,16,26,0,26,0,0.080939,24,21.3,0,50,2,20.9729564198,22.3758744901,0,26,0,0.080939,heating,1,300,-0.00303580457311,False,0.182148274387,0.00718167266266,0,0.166666666667,0.00829993505753,night,15,28,0,0.313513040543,0.567374944687
4,17666,17666.5,1800,20.9729576111,22.3758735657,24,21.3000030518,0,50,0.5,0.866025447845,16,26,16,26,0,26,0,0.080939,24,21,0,50,2,21.1795978825,22.5090976622,0,26,0,0.080939,heating,1,300,-0.00304041551316,False,0.182424930789,0.0074583290652,0,0.166666666667,0.00829993505753,night,15,28,0,0.319417089224,0.577622890472
5,17666.5,17667,1800,21.1795978546,22.509098053,24,21,0,50,0.5,0.866025447845,16,26,16,26,0,26,0,0.080939,24,20.7,0,50,3,21.3653403259,22.6291780187,0,26,0,0.080939,heating,1,300,-0.0030447721877,False,0.182686331262,0.00771972953755,0,0.166666666667,0.00829993505753,night,15,28,0,0.324724018574,0.586859822273
6,17667,17667.5,1800,21.3653411865,22.6291770935,24,20.7000007629,0,50,0.70710682869,0.70710682869,16.651714325,19.0249099731,16.651714325,19.0249099731,0,26,0,0.080939,24,20.5,0,50,3,21.410172882,21.3637961683,3751.30679308,19.0249099731,100,0.317974642857,cooling,0,0,-0.00157103354359,False,0.0942620126152,0.0308794770748,0,0,0.0633825355403,night,15,28,0,0.326004952192,0.489522784948
7,17667.5,17668,1800,21.4101734161,21.3637962341,24,20.5,0,50,0.70710682869,0.70710682869,16.651714325,19.0249099731,16.651714325,19.0249099731,3751.30679308,19.0249099731,100,0.317974642857,24,20.4,0,50,4,21.3717752631,21.2323788058,3751.30679308,19.0249099731,100,0.317974642857,cooling,0,0,-0.00189826205104,False,0.113895723062,0.0314666666983,0,0,0.0824290563639,night,15,28,0,0.324907869101,0.479413747787
8,17668,17668.5,1800,21.3717765808,21.2323799133,24,20.4000015259,0,50,0.866025447845,0.5,16.651714325,19.0249099731,16.651714325,19.0249099731,3751.30679308,19.0249099731,100,0.317974642857,24,20.4,0,50,4,21.3315151723,21.2044653307,3751.30679308,19.0249099731,100,0.317974642857,cooling,0,0,-0.0018906362531,False,0.113438175186,0.0310091188219,0,0,0.0824290563639,night,15,28,0,0.323757588863,0.477266550064
9,17668.5,17669,1800,21.3315162659,21.2044639587,24,20.4000015259,0,50,0.866025447845,0.5,16.651714325,19.0249099731,16.651714325,19.0249099731,3751.30679308,19.0249099731,100,0.317974642857,24,20.5,0,50,5,21.296411929,21.1848057761,3751.30679308,19.0249099731,100,0.317974642857,cooling,0,0,-0.00188564444237,False,0.113138666542,0.0307096101786,0,0,0.0824290563639,night,15,28,0,0.322754621506,0.475754290819
