evaluation,weighted_mse,weighted_rmse,least_squares_cost,best_weighted_mse_so_far,best_weighted_rmse_so_far,C_env,C_air,R_rc,R_oe,R_er
1.0,0.0007018877755782179,0.02649316469541187,0.2358342925942812,0.0007018877755782179,0.02649316469541187,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
2.0,0.0007018878195506218,0.02649316552529391,0.23583430736900893,0.0007018877755782179,0.02649316469541187,3621417.0539633185,395335.4,0.007260759,0.03000755,0.004009136
3.0,0.0007018877821277558,0.02649316481901994,0.23583429479492596,0.0007018877755782179,0.02649316469541187,3621417.0,395335.4058909565,0.007260759,0.03000755,0.004009136
4.0,0.0007018914333244236,0.026493233727207095,0.23583552159700633,0.0007018877755782179,0.02649316469541187,3621417.0,395335.4,0.007260773901161194,0.03000755,0.004009136
5.0,0.0007018884551821442,0.026493177521432647,0.23583452094120044,0.0007018877755782179,0.02649316469541187,3621417.0,395335.4,0.007260759,0.030007564901161195,0.004009136
6.0,0.0007019208923471706,0.02649378969394848,0.23584541982864934,0.0007018877755782179,0.02649316469541187,3621417.0,395335.4,0.007260759,0.03000755,0.004009150901161194
7.0,3.1120641782610074e-06,0.001764104355830745,0.0010456535638956985,3.1120641782610074e-06,0.001764104355830745,3208443.1658559707,359307.118769369,0.007078953042632679,0.026824680499321508,0.0037042415640799117
8.0,3.1120644992033924e-06,0.001764104446795425,0.0010456536717323398,3.1120641782610074e-06,0.001764104355830745,3208443.2136654994,359307.118769369,0.007078953042632679,0.026824680499321508,0.0037042415640799117
9.0,3.1120672110656188e-06,0.0017641052154181787,0.0010456545829180478,3.1120641782610074e-06,0.001764104355830745,3208443.1658559707,359307.12412346224,0.007078953042632679,0.026824680499321508,0.0037042415640799117
10.0,3.1126616278326936e-06,0.001764273682803406,0.001045854306951785,3.1120641782610074e-06,0.001764104355830745,3208443.1658559707,359307.118769369,0.007078967943793873,0.026824680499321508,0.0037042415640799117
11.0,3.1120239999871876e-06,0.0017640929680680629,0.001045640063995695,3.1120239999871876e-06,0.0017640929680680629,3208443.1658559707,359307.118769369,0.007078953042632679,0.0268246954004827,0.0037042415640799117
12.0,3.1126643197677474e-06,0.0017642744457050177,0.0010458552114419632,3.1120239999871876e-06,0.0017640929680680629,3208443.1658559707,359307.118769369,0.007078953042632679,0.026824680499321508,0.0037042564652411056
13.0,5.755673463620534e-09,7.586615492840357e-05,1.9339062837764995e-06,5.755673463620534e-09,7.586615492840357e-05,3199409.8644438502,352234.84056812286,0.0070602509558719264,0.027066934111339116,0.0036903826059030286
14.0,5.755669566280314e-09,7.586612924276758e-05,1.9339049742701856e-06,5.755669566280314e-09,7.586612924276758e-05,3199409.9121187725,352234.84056812286,0.0070602509558719264,0.027066934111339116,0.0036903826059030286
15.0,5.755842872222844e-09,7.586727141675021e-05,1.9339632050668757e-06,5.755669566280314e-09,7.586612924276758e-05,3199409.8644438502,352234.845816831,0.0070602509558719264,0.027066934111339116,0.0036903826059030286
16.0,5.753941626909585e-09,7.585474030612448e-05,1.9333243866416206e-06,5.753941626909585e-09,7.585474030612448e-05,3199409.8644438502,352234.84056812286,0.00706026585703312,0.027066934111339116,0.0036903826059030286
17.0,5.755025762039153e-09,7.586188609597808e-05,1.9336886560451555e-06,5.753941626909585e-09,7.585474030612448e-05,3199409.8644438502,352234.84056812286,0.0070602509558719264,0.02706694901250031,0.0036903826059030286
18.0,5.74225350262104e-09,7.57776583342415e-05,1.9293971768806695e-06,5.74225350262104e-09,7.57776583342415e-05,3199409.8644438502,352234.84056812286,0.0070602509558719264,0.027066934111339116,0.0036903975070642224
19.0,4.640971711219976e-14,2.1542914638506964e-07,1.5593664949699118e-11,4.640971711219976e-14,2.1542914638506964e-07,3199599.2185354717,351871.0470677199,0.007060000963039546,0.027070002246383944,0.003690001167736468
20.0,4.641616927823676e-14,2.1544412101107972e-07,1.559583287748755e-11,4.640971711219976e-14,2.1542914638506964e-07,3199599.2662132154,351871.0470677199,0.007060000963039546,0.027070002246383944,0.003690001167736468
21.0,4.6887652672534185e-14,2.165355690701511e-07,1.5754251297971487e-11,4.640971711219976e-14,2.1542914638506964e-07,3199599.2185354717,351871.0523110071,0.007060000963039546,0.027070002246383944,0.003690001167736468
22.0,3.551694275833195e-13,5.959609278999082e-07,1.1933692766799535e-10,4.640971711219976e-14,2.1542914638506964e-07,3199599.2185354717,351871.0470677199,0.00706001586420074,0.027070002246383944,0.003690001167736468
23.0,4.76919526148498e-14,2.1838487267860335e-07,1.6024496078589532e-11,4.640971711219976e-14,2.1542914638506964e-07,3199599.2185354717,351871.0470677199,0.007060000963039546,0.027070017147545138,0.003690001167736468
24.0,1.1913328215011786e-12,1.09148193823864e-06,4.00287828024396e-10,4.640971711219976e-14,2.1542914638506964e-07,3199599.2185354717,351871.0470677199,0.007060000963039546,0.027070002246383944,0.003690016068897662
25.0,1.0863190722680761e-21,3.295935485212167e-11,3.6500320828207357e-19,1.0863190722680761e-21,3.295935485212167e-11,3199600.000000333,351870.00000899076,0.007060000000000314,0.02707000000087167,0.0036899999999918114
26.0,2.911364652078452e-18,1.7062721506484397e-09,9.782185230983599e-16,1.0863190722680761e-21,3.295935485212167e-11,3199600.0476780883,351870.00000899076,0.007060000000000314,0.02707000000087167,0.0036899999999918114
27.0,1.4709021805466343e-18,1.2128075612176214e-09,4.942231326636691e-16,1.0863190722680761e-21,3.295935485212167e-11,3199600.000000333,351870.00525226234,0.007060000000000314,0.02707000000087167,0.0036899999999918114
28.0,3.1081904765074894e-13,5.57511477595528e-07,1.0443520001065164e-10,1.0863190722680761e-21,3.295935485212167e-11,3199600.000000333,351870.00000899076,0.007060014901161508,0.02707000000087167,0.0036899999999918114
29.0,1.4559581261547218e-15,3.8157019356269454e-08,4.892019303879865e-13,1.0863190722680761e-21,3.295935485212167e-11,3199600.000000333,351870.00000899076,0.007060000000000314,0.027070014902032865,0.0036899999999918114
30.0,1.1718835625969539e-12,1.082535709617449e-06,3.9375287703257653e-10,1.0863190722680761e-21,3.295935485212167e-11,3199600.000000333,351870.00000899076,0.007060000000000314,0.02707000000087167,0.0036900149011530052
31.0,1.0827215357445954e-21,3.290473424515985e-11,3.6379443601018405e-19,1.0827215357445954e-21,3.290473424515985e-11,3199600.0000019874,351870.0000001435,0.0070599999999845535,0.0270700000009712,0.0036899999999848074
32.0,2.911305293350179e-18,1.7062547562864635e-09,9.781985785656602e-16,1.0827215357445954e-21,3.290473424515985e-11,3199600.047679743,351870.0000001435,0.0070599999999845535,0.0270700000009712,0.0036899999999848074
33.0,1.4667466185495755e-18,1.21109315023642e-09,4.928268638326574e-16,1.0827215357445954e-21,3.290473424515985e-11,3199600.0000019874,351870.0052434151,0.0070599999999845535,0.0270700000009712,0.0036899999999848074
34.0,3.1081869323276896e-13,5.575111597383222e-07,1.0443508092621037e-10,1.0827215357445954e-21,3.290473424515985e-11,3199600.0000019874,351870.0000001435,0.007060014901145747,0.0270700000009712,0.0036899999999848074
35.0,1.4559817247823418e-15,3.81573285855069e-08,4.892098595268668e-13,1.0827215357445954e-21,3.290473424515985e-11,3199600.0000019874,351870.0000001435,0.0070599999999845535,0.027070014902132393,0.0036899999999848074
36.0,1.1718842938700251e-12,1.082536047376726e-06,3.9375312274032845e-10,1.0827215357445954e-21,3.290473424515985e-11,3199600.0000019874,351870.0000001435,0.0070599999999845535,0.0270700000009712,0.0036900149011460013
