row_index,T_env_measured,T_env_predicted,T_env_error,T_zone_measured,T_zone_predicted,T_zone_error,T_env_start,T_zone_start,T_out_start,T_out_end,T_cor_start,T_cor_end,Qsg_start,Qsg_end,Qint_start,Qint_end,Q_HVAC_total_est_W,dt_seconds,envelope_abs_error,zone_abs_error,combined_abs_error
0,20.28917694091797,20.54748615135723,0.25830921043926125,21.753997802734375,18.41010735570475,-3.343890447029626,20.0,24.0,17.0,18.0,24.0,24.0,0.0,0.0,50.0,50.0,-58.720006973915446,1800.0,0.25830921043926125,3.343890447029626,3.602199657468887
1,20.464126586914062,20.464926910563957,0.0008003236498943522,21.725433349609375,21.516249452238224,-0.20918389737115106,20.28917694091797,21.753997802734375,18.0,19.0,24.0,24.0,0.0,0.0,50.0,50.0,-17.636039635166952,1800.0,0.0008003236498943522,0.20918389737115106,0.20998422102104541
2,20.637451171875,20.62599543207134,-0.011455739803661658,21.80615234375,21.747622848173656,-0.05852949557634446,20.464126586914062,21.725433349609375,19.0,20.0,24.0,24.0,0.0,0.0,50.0,50.0,-26.021351365163184,1800.0,0.011455739803661658,0.05852949557634446,0.06998523538000612
3,20.82010269165039,20.802381563071172,-0.01772112857921826,21.896026611328125,21.840917712854523,-0.0551088984736019,20.637451171875,21.80615234375,20.0,21.300003051757812,24.0,24.0,0.0,0.0,50.0,50.0,-37.22605905931326,1800.0,0.01772112857921826,0.0551088984736019,0.07283002705282016
4,20.982738494873047,20.994109305763356,0.011370810890309002,22.004432678222656,21.99407624326947,-0.010356434953187943,20.82010269165039,21.896026611328125,21.300003051757812,21.0,24.0,24.0,0.0,0.0,50.0,50.0,-37.26786095755949,1800.0,0.011370810890309002,0.010356434953187943,0.021727245843496945
5,21.12600326538086,21.138862759707827,0.012859494326967535,22.080944061279297,22.04592602757792,-0.035018033701376794,20.982738494873047,22.004432678222656,21.0,20.700000762939453,24.0,24.0,0.0,0.0,50.0,50.0,-47.66511012517694,1800.0,0.012859494326967535,0.035018033701376794,0.04787752802834433
6,21.252601623535156,21.262738498322676,0.0101368747875199,22.14740753173828,22.114899926698182,-0.03250760504009875,21.12600326538086,22.080944061279297,20.700000762939453,20.5,24.0,24.0,0.0,0.0,50.0,50.0,-56.39160513080273,1800.0,0.0101368747875199,0.03250760504009875,0.04264447982761865
7,21.36591339111328,21.37338140484587,0.007468013732587764,22.206571578979492,22.177030225472656,-0.029541353506836288,21.252601623535156,22.14740753173828,20.5,20.400001525878903,24.0,24.0,0.0,0.0,50.0,50.0,-64.12129620806218,1800.0,0.007468013732587764,0.029541353506836288,0.03700936723942405
8,21.475666046142575,21.474004888952205,-0.0016611571903695221,22.32610321044922,22.38237868032257,0.05627546987335208,21.36591339111328,22.206571578979492,20.400001525878903,20.400001525878903,24.0,24.0,0.0,0.0,50.0,50.0,-41.838683217386546,1800.0,0.0016611571903695221,0.05627546987335208,0.0579366270637216
9,21.580326080322266,21.582967541882105,0.0026414615598397972,22.383094787597656,22.359011953976967,-0.02408283362068886,21.475666046142575,22.32610321044922,20.400001525878903,20.5,24.0,24.0,0.0,0.0,50.0,50.0,-50.1919754271247,1800.0,0.0026414615598397972,0.02408283362068886,0.026724295180528657
10,21.68790626525879,21.680263257734133,-0.007643007524656298,22.43912124633789,22.404379594574465,-0.03474165176342581,21.580326080322266,22.383094787597656,20.5,21.10000228881836,24.0,24.0,0.0,1.8149999380111697,50.0,50.0,-57.31008097636763,1800.0,0.007643007524656298,0.03474165176342581,0.042384659288082105
11,21.812875747680664,21.791238270498745,-0.021637477181918996,22.565202713012695,22.416057504624224,-0.14914520838847167,21.68790626525879,22.43912124633789,21.10000228881836,21.700000762939453,24.0,24.0,1.8149999380111697,55.7261962890625,50.0,50.0,-72.01492358570547,1800.0,0.021637477181918996,0.14914520838847167,0.17078268557039067
