row_index,T_env_measured,T_env_predicted,T_env_error,T_zone_measured,T_zone_predicted,T_zone_error,T_env_start,T_zone_start,T_out_start,T_out_end,T_cor_start,T_cor_end,Qsg_start,Qsg_end,Qint_start,Qint_end,Q_HVAC_total_est_W,dt_seconds,envelope_abs_error,zone_abs_error,combined_abs_error
0,20.28917694091797,20.238659178829128,-0.05051776208884107,21.753997802734375,22.621565130201216,0.8675673274668405,20.0,24.0,17.0,18.0,24.0,24.0,0.0,0.0,50.0,50.0,-58.720006973915446,1800.0,0.05051776208884107,0.8675673274668405,0.9180850895556816
1,20.464126586914062,20.45096096917824,-0.013165617735822366,21.725433349609375,21.76714931183947,0.04171596223009644,20.28917694091797,21.753997802734375,18.0,19.0,24.0,24.0,0.0,0.0,50.0,50.0,-17.636039635166952,1800.0,0.013165617735822366,0.04171596223009644,0.0548815799659188
2,20.637451171875,20.62606521462026,-0.011385957254738344,21.80615234375,21.808080734941765,0.001928391191764689,20.464126586914062,21.725433349609375,19.0,20.0,24.0,24.0,0.0,0.0,50.0,50.0,-26.021351365163184,1800.0,0.011385957254738344,0.001928391191764689,0.013314348446503033
3,20.82010269165039,20.80587564070958,-0.01422705094081067,21.896026611328125,21.89448913330175,-0.0015374780263748278,20.637451171875,21.80615234375,20.0,21.300003051757812,24.0,24.0,0.0,0.0,50.0,50.0,-37.22605905931326,1800.0,0.01422705094081067,0.0015374780263748278,0.015764528967185498
4,20.982738494873047,20.984170372631574,0.0014318777585273779,22.004432678222656,22.00369005210062,-0.0007426261220366825,20.82010269165039,21.896026611328125,21.300003051757812,21.0,24.0,24.0,0.0,0.0,50.0,50.0,-37.26786095755949,1800.0,0.0014318777585273779,0.0007426261220366825,0.0021745038805640604
5,21.12600326538086,21.127296616590304,0.0012933512094441824,22.080944061279297,22.087405128774662,0.006461067495365569,20.982738494873047,22.004432678222656,21.0,20.700000762939453,24.0,24.0,0.0,0.0,50.0,50.0,-47.66511012517694,1800.0,0.0012933512094441824,0.006461067495365569,0.007754418704809751
6,21.252601623535156,21.253116106478224,0.0005144829430676623,22.14740753173828,22.15304562672874,0.005638094990459308,21.12600326538086,22.080944061279297,20.700000762939453,20.5,24.0,24.0,0.0,0.0,50.0,50.0,-56.39160513080273,1800.0,0.0005144829430676623,0.005638094990459308,0.00615257793352697
7,21.36591339111328,21.365629804845717,-0.0002835862675638623,22.206571578979492,22.211145341660583,0.004573762681090443,21.252601623535156,22.14740753173828,20.5,20.400001525878903,24.0,24.0,0.0,0.0,50.0,50.0,-64.12129620806218,1800.0,0.0002835862675638623,0.004573762681090443,0.004857348948654305
8,21.475666046142575,21.47547989306666,-0.00018615307591574037,22.32610321044922,22.307363451734197,-0.018739758715021537,21.36591339111328,22.206571578979492,20.400001525878903,20.400001525878903,24.0,24.0,0.0,0.0,50.0,50.0,-41.838683217386546,1800.0,0.00018615307591574037,0.018739758715021537,0.018925911790937278
9,21.580326080322266,21.578301254997143,-0.0020248253251224924,22.383094787597656,22.385040752015353,0.0019459644176968993,21.475666046142575,22.32610321044922,20.400001525878903,20.5,24.0,24.0,0.0,0.0,50.0,50.0,-50.1919754271247,1800.0,0.0020248253251224924,0.0019459644176968993,0.003970789742819392
10,21.68790626525879,21.68100564767592,-0.006900617582868307,22.43912124633789,22.436399704579415,-0.0027215417584756096,21.580326080322266,22.383094787597656,20.5,21.10000228881836,24.0,24.0,0.0,1.8149999380111697,50.0,50.0,-57.31008097636763,1800.0,0.006900617582868307,0.0027215417584756096,0.009622159341343917
11,21.812875747680664,21.80361831816855,-0.009257429512114612,22.565202713012695,22.483944130502106,-0.08125858251058915,21.68790626525879,22.43912124633789,21.10000228881836,21.700000762939453,24.0,24.0,1.8149999380111697,55.7261962890625,50.0,50.0,-72.01492358570547,1800.0,0.009257429512114612,0.08125858251058915,0.09051601202270376
12,21.913047790527344,21.914286259720903,0.0012384691935594105,22.38417053222656,22.453478688251213,0.06930815602465401,21.812875747680664,22.565202713012695,21.700000762939453,22.39999771118164,24.0,24.0,55.7261962890625,22.770000457763672,50.0,50.0,-168.00281413352482,1800.0,0.0012384691935594105,0.06930815602465401,0.07054662521821342
13,22.03247833251953,22.025034313137485,-0.007444019382045752,22.544321060180664,22.387578935452886,-0.15674212472777782,21.913047790527344,22.38417053222656,22.39999771118164,23.0,24.0,24.0,22.770000457763672,117.79429626464844,50.0,50.0,-182.3532487201026,1800.0,0.007444019382045752,0.15674212472777782,0.16418614410982357
14,22.141117095947266,22.153772680384353,0.012655584437087697,22.454912185668945,22.457720395862854,0.0028082101939084225,22.03247833251953,22.544321060180664,23.0,24.0,24.0,24.0,117.79429626464844,65.67802429199219,50.0,50.0,-225.35156948741107,1800.0,0.012655584437087697,0.0028082101939084225,0.01546379463099612
15,22.306442260742188,22.27192182488862,-0.0345204358535689,22.837600708007812,22.563912313219937,-0.2736883947878752,22.141117095947266,22.454912185668945,24.0,25.0,24.0,24.0,65.67802429199219,177.43162536621094,50.0,180.0,-306.8535463975305,1800.0,0.0345204358535689,0.2736883947878752,0.3082088306414441
16,22.482162475585938,22.5106660173049,0.028503541718961856,22.983234405517575,22.86796310175928,-0.11527130375829486,22.306442260742188,22.837600708007812,25.0,26.0,24.0,24.0,177.43162536621094,129.28982543945312,180.0,180.0,-252.56592256419864,1800.0,0.028503541718961856,0.11527130375829486,0.14377484547725672
17,22.722965240478516,22.718838620294495,-0.004126620184020879,23.31551742553711,22.89210368699596,-0.42341373854115005,22.482162475585938,22.983234405517575,26.0,27.0,24.0,24.0,129.28982543945312,333.2375183105469,180.0,180.0,-326.4373620557335,1800.0,0.004126620184020879,0.42341373854115005,0.42754035872517093
