group,seed,return,energy_kwh,violation_hours,temp_exceedance_degC_hr
full_method,0,-10.501575940166264,365.15643361598035,195.5,58.87513839866553
full_method,1,-10.50863368093415,358.8838952586449,226.0,60.363139021645004
full_method,2,-9.755463278558992,364.1550865057158,173.5,49.14949115729425
full_method,3,-10.318448764498246,362.68218955222875,189.0,56.983274737258924
full_method,4,-13.648459582851272,353.7058702355213,312.0,103.37815660790115
full_method,5,-13.86432906150353,353.3305016344171,337.0,106.33983156795416
full_method,6,-8.98282054224103,362.7679795715223,156.5,39.15583399176434
full_method,7,-10.00223450695378,369.76908324224956,182.0,51.192219372217245
full_method,8,-10.02865979926408,359.8663005799139,185.0,53.74517497242861
full_method,9,-10.498532755357994,357.07545869922336,202.5,60.630334804945555
vanilla_ablation,0,-14.96824854552865,573.4732220129058,238.5,72.13815349307
vanilla_ablation,1,-14.207173798003813,473.26207602305965,295.0,84.25963374603813
vanilla_ablation,2,-17.197633111551063,490.9461422857344,327.5,120.2026320905178
vanilla_ablation,3,-14.569352112541278,475.82481075250433,301.5,88.51918133332703
vanilla_ablation,4,-19.82746336194025,445.9777555161563,491.5,165.26001026672373
vanilla_ablation,5,-30.455505546973956,342.5752885496557,571.5,329.94556539306154
vanilla_ablation,6,-15.605977793620353,579.0226163022253,332.0,79.40801140333218
vanilla_ablation,7,-96.62837777486835,538.2835732737243,1090.0,1168.7597984929732
vanilla_ablation,8,-14.20717341793927,473.2620776782302,295.0,84.25962831069523
vanilla_ablation,9,-32.2134740549919,309.8328707154834,615.0,360.6612383520081
