group,seed,return,energy_kwh,violation_hours,temp_exceedance_degC_hr
vanilla_ablation,0,-14.96824854552865,573.4732220129058,238.5,72.13815349307
vanilla_ablation,1,-14.207173798003813,473.26207602305965,295.0,84.25963374603813
vanilla_ablation,2,-17.197633111551063,490.9461422857344,327.5,120.2026320905178
vanilla_ablation,3,-14.569352112541278,475.82481075250433,301.5,88.51918133332703
vanilla_ablation,4,-19.82746336194025,445.9777555161563,491.5,165.26001026672373
vanilla_ablation,5,-30.455505546973956,342.5752885496557,571.5,329.94556539306154
vanilla_ablation,6,-15.605977793620353,579.0226163022253,332.0,79.40801140333218
vanilla_ablation,7,-96.62837777486835,538.2835732737243,1090.0,1168.7597984929732
vanilla_ablation,8,-14.20717341793927,473.2620776782302,295.0,84.25962831069523
vanilla_ablation,9,-32.2134740549919,309.8328707154834,615.0,360.6612383520081
